
TableName              ColumnName                         TypeName      max_length is_nullable
Notes                  numbering_type1                    int                    4        True
Notes                  project_id                         int                    4        True
Notes                  Cus_or_sub                         int                    4        True
Notes                  project_depit_or_credit            int                    4        True
Notes                  EmpAccountCode                     varchar              500        True
Notes                  salary_or_advance                  int                    4        True
Notes                  general_des_notes                  varchar             1000        True
Notes                  BTCashAccountcode                  varchar              500        True
Notes                  ORDER_NO                           varchar               50        True
Notes                  ItemID                             int                    4        True
Notes                  Transaction_ID1                    int                    4        True
Notes                  auto_des                           int                    4        True
Notes                  BoxIDTo                            int                    4        True
Notes                  BankIDTo                           int                    4        True
Notes                  DrawingType                        int                    4        True
Notes                  ChequeBoxID                        int                    4        True
Notes                  Destribute                         bit                    1        True
Notes                  EmployeeID                         int                    4        True
Notes                  BankName                           nvarchar             510        True
Notes                  AccountsCode                       nvarchar             510        True
Notes                  AdvanceID                          int                    4        True
Notes                  OldNoteSerial1                     nvarchar             510        True
Notes                  Emp_ID                             int                    4        True
Notes                  Doctype                            int                    4        True
Notes                  AllocationType                     int                    4        True
Notes                  EmpId                              int                    4        True
Notes                  TransferExpenses                   float                  8        True
Notes                  ExpensesRemark                     nvarchar            8000        True
Notes                  RemarkE                            nvarchar            8000        True
Notes                  branch_no1                         int                    4        True
Notes                  branch_no2                         int                    4        True
Notes                  Account_Code1                      nvarchar             510        True
Notes                  Account_Code2                      nvarchar             510        True
Notes                  PaymentType                        int                    4        True
Notes                  PaymentType1                       int                    4        True
Notes                  BoxID1                             int                    4        True
Notes                  BoxID2                             int                    4        True
Notes                  bankID1                            int                    4        True
Notes                  bankID2                            int                    4        True
Notes                  TxtChequeNumber1                   nvarchar             510        True
